Sheet,Cell,Business Meaning,Canonical Field,UI Location,Role,Notes
Nhập liệu,F7,Địa chỉ theo hiện trạng thực tế,subject.current_address,TSTĐ > Vị trí,INPUT,Giữ riêng với địa chỉ pháp lý.
Nhập liệu,F9,Tỉnh/Thành phố,subject.address.current.province,TSTĐ > Vị trí,INPUT,
Nhập liệu,F10,Quận/Huyện/Thị xã cũ,subject.address.legacy.district,TSTĐ > Vị trí,INPUT,Không overwrite địa chỉ pháp lý.
Nhập liệu,F11,Phường/Xã/Thị trấn cũ,subject.address.legacy.commune,TSTĐ > Vị trí,INPUT,
Nhập liệu,F13,Tên đường,subject.address.street,TSTĐ > Vị trí,INPUT,
Nhập liệu,F14,Số nhà,subject.address.house_number,TSTĐ > Vị trí,INPUT,
Nhập liệu,G16,Latitude,subject.location.lat,TSTĐ > Vị trí,INPUT,Canonical.
Nhập liệu,G17,Longitude,subject.location.lng,TSTĐ > Vị trí,INPUT,Canonical.
Nhập liệu,G18,Số thửa,subject.parcels[0].parcel_number,TSTĐ > Pháp lý,INPUT,
Nhập liệu,K18,Tờ bản đồ,subject.parcels[0].map_sheet_number,TSTĐ > Pháp lý,INPUT,
Nhập liệu,F21,Vị trí tiếp giáp theo GCN,subject.legal.adjacency_text,TSTĐ > Pháp lý,INPUT,
Nhập liệu,F22,Vị trí tiếp giáp thực tế,subject.physical.adjacency_text,TSTĐ > Đặc điểm so sánh,DERIVED/INPUT,Có helper Sheet1.
Nhập liệu,H28,Tên/vị trí tuyến đường theo bảng giá đất,subject.land_price_reference.road,TSTĐ > Đất,INPUT,
Nhập liệu,I31,Đơn giá đất ở theo bảng giá nhà nước,subject.land_price_reference.residential_unit_price,TSTĐ > Đất,INPUT,
Nhập liệu,F36,Tổng diện tích khu đất,subject.land.total_area_m2,TSTĐ > Đất,DERIVED,Tổng các thành phần.
Nhập liệu,F38,Diện tích đất ở phù hợp quy hoạch,subject.land.components.residential.compliant_area_m2,TSTĐ > Đất,DERIVED/INPUT,
Nhập liệu,F42,Diện tích đất ở vi phạm quy hoạch,subject.land.components.residential.noncompliant_area_m2,TSTĐ > Đất,INPUT,
Nhập liệu,H46,Mặt tiền,subject.characteristics.frontage,TSTĐ > Đặc điểm so sánh,INPUT,m
Nhập liệu,H47,Chiều dài,subject.characteristics.depth,TSTĐ > Đặc điểm so sánh,DERIVED/INPUT,m
Nhập liệu,H48,Hình dáng,subject.characteristics.shape,TSTĐ > Đặc điểm so sánh,INPUT,
Nhập liệu,H49,Diện tích sử dụng riêng,subject.land.use_form.private_area_m2,TSTĐ > Đất,DERIVED,
Nhập liệu,F51,Mục đích sử dụng đất,subject.land_use_components[0].label,TSTĐ > Đất,INPUT,
Nhập liệu,F53,Hiện trạng sử dụng đất,subject.current_use,TSTĐ > Đặc điểm so sánh,INPUT,
Nhập liệu,H60,Giao thông,subject.characteristics.traffic_quality,TSTĐ > Đặc điểm so sánh,INPUT,
Nhập liệu,H61,Hạ tầng kỹ thuật,subject.characteristics.infrastructure_quality,TSTĐ > Đặc điểm so sánh,INPUT,
Nhập liệu,H62,Môi trường kinh doanh,subject.characteristics.business_environment,TSTĐ > Đặc điểm so sánh,INPUT,
